id,status,duration,start_date,start_station,end_date,end_station,bike_nr,subscription_type,zip_code,birth_date,gender
325609,Closed,411,2012-06-19 00:03:00,24,2012-06-19 00:10:00,40,B00471,Casual,,,
325610,Closed,312,2012-06-19 00:04:00,55,2012-06-19 00:09:00,3,B00377,Registered,2215,1983,Male
325611,Closed,148,2012-06-19 00:05:00,47,2012-06-19 00:07:00,20,B00268,Registered,2128,1985,Male
325612,Closed,320,2012-06-19 00:07:00,4,2012-06-19 00:12:00,60,B00593,Registered,2114,1981,Male
325613,Closed,953,2012-06-19 00:11:00,9,2012-06-19 00:27:00,42,B00401,Registered,2116,1991,Male
325614,Closed,841,2012-06-19 00:12:00,20,2012-06-19 00:26:00,49,B00183,Casual,,,
325615,Closed,160,2012-06-19 00:27:00,22,2012-06-19 00:30:00,43,B00238,Registered,2110,1988,Male
325616,Closed,928,2012-06-19 00:29:00,3,2012-06-19 00:44:00,63,B00124,Casual,,,
325617,Closed,338,2012-06-19 00:32:00,54,2012-06-19 00:38:00,16,B00443,Registered,2116,1986,Male
325618,Closed,141,2012-06-19 00:54:00,43,2012-06-19 00:56:00,22,B00238,Registered,2124,1974,Male
325619,Closed,823,2012-06-19 00:57:00,52,2012-06-19 01:10:00,9,B00424,Registered,2134,1990,Male
325620,Closed,462,2012-06-19 01:02:00,49,2012-06-19 01:09:00,61,B00183,Casual,,,
325621,Closed,2849,2012-06-19 01:01:00,22,2012-06-19 01:48:00,51,B00588,Registered,2124,1975,Female
325622,Closed,439,2012-06-19 01:02:00,49,2012-06-19 01:09:00,61,B00315,Casual,,,
325623,Closed,197,2012-06-19 01:04:00,57,2012-06-19 01:07:00,55,B00460,Registered,2215,1988,Male
325624,Closed,394,2012-06-19 01:13:00,40,2012-06-19 01:20:00,22,B00596,Registered,2109,1985,Male
325625,Closed,447,2012-06-19 01:33:00,41,2012-06-19 01:40:00,10,B00133,Casual,,,
325626,Closed,469,2012-06-19 01:33:00,41,2012-06-19 01:40:00,10,B00444,Registered,2215,1990,Male
325627,Closed,467,2012-06-19 02:06:00,3,2012-06-19 02:14:00,51,B00245,Registered,2118,1981,Male
325628,Closed,266,2012-06-19 02:48:00,30,2012-06-19 02:53:00,30,B00381,Casual,,,
325629,Closed,704,2012-06-19 03:00:00,30,2012-06-19 03:11:00,61,B00150,Casual,,,
325630,Closed,450,2012-06-19 05:10:00,57,2012-06-19 05:18:00,4,B00580,Registered,2118,1989,Male
325631,Closed,625,2012-06-19 05:38:00,22,2012-06-19 05:48:00,21,B00238,Registered,2210,1974,Male
325632,Closed,657,2012-06-19 05:41:00,41,2012-06-19 05:52:00,52,B00252,Registered,2215,1992,Male
325633,Closed,647,2012-06-19 05:41:00,53,2012-06-19 05:52:00,48,B00438,Registered,2118,1989,Male
325634,Closed,484,2012-06-19 05:41:00,53,2012-06-19 05:49:00,60,B00420,Registered,2114,1983,Male
325635,Closed,418,2012-06-19 05:45:00,25,2012-06-19 05:52:00,42,B00308,Registered,2118,1965,Female
325636,Closed,1467,2012-06-19 05:50:00,38,2012-06-19 06:15:00,38,B00435,Casual,,,
325637,Closed,562,2012-06-19 05:53:00,55,2012-06-19 06:02:00,55,B00019,Registered,2215,1983,Male
325638,Closed,523,2012-06-19 05:58:00,26,2012-06-19 06:07:00,57,B00255,Registered,2118,1989,Male
325639,Closed,712,2012-06-19 05:58:00,49,2012-06-19 06:10:00,33,B00358,Registered,1950,1981,Male
325641,Closed,215,2012-06-19 06:01:00,21,2012-06-19 06:04:00,36,B00517,Registered,2115,1988,Female
325644,Closed,825,2012-06-19 06:05:00,60,2012-06-19 06:19:00,63,B00420,Registered,2114,1985,Male
325645,Closed,301,2012-06-19 06:06:00,55,2012-06-19 06:11:00,34,B00019,Registered,2215,1983,Male
325646,Closed,365,2012-06-19 06:06:00,4,2012-06-19 06:12:00,22,B00580,Registered,2118,1977,Male
325648,Closed,372,2012-06-19 06:09:00,58,2012-06-19 06:15:00,48,B00289,Registered,2116,1986,Male
325649,Closed,423,2012-06-19 06:12:00,24,2012-06-19 06:20:00,23,B00029,Casual,,,
325650,Closed,410,2012-06-19 06:15:00,12,2012-06-19 06:21:00,11,B00472,Registered,2067,1956,Male
325651,Closed,344,2012-06-19 06:15:00,22,2012-06-19 06:21:00,40,B00329,Registered,2532,1970,Male
325652,Closed,472,2012-06-19 06:16:00,45,2012-06-19 06:24:00,62,B00165,Registered,2050,1957,Male
325653,Closed,395,2012-06-19 06:17:00,38,2012-06-19 06:23:00,35,B00561,Registered,1867,1962,Male
325654,Closed,416,2012-06-19 06:20:00,45,2012-06-19 06:27:00,11,B00620,Registered,2215,1984,Female
325655,Closed,455,2012-06-19 06:22:00,38,2012-06-19 06:29:00,42,B00603,Registered,1915,1957,Male
325656,Closed,332,2012-06-19 06:22:00,38,2012-06-19 06:27:00,60,B00157,Registered,1923,1963,Male
325657,Closed,863,2012-06-19 06:22:00,54,2012-06-19 06:36:00,33,B00501,Registered,2111,1987,Female
325658,Closed,815,2012-06-19 06:22:00,38,2012-06-19 06:36:00,64,B00390,Registered,1944,1950,Male
325659,Closed,292,2012-06-19 06:23:00,38,2012-06-19 06:27:00,43,B00121,Registered,1852,1978,Male
325660,Closed,721,2012-06-19 06:24:00,6,2012-06-19 06:36:00,52,B00180,Registered,2114,1982,Male
325661,Closed,797,2012-06-19 06:24:00,38,2012-06-19 06:37:00,21,B00013,Registered,1944,1961,Male
325662,Closed,161,2012-06-19 06:25:00,47,2012-06-19 06:27:00,48,B00527,Registered,2113,1986,Male
325663,Closed,456,2012-06-19 06:26:00,26,2012-06-19 06:34:00,48,B00301,Registered,2118,1983,Male
325664,Closed,324,2012-06-19 06:27:00,34,2012-06-19 06:33:00,11,B00633,Registered,2155,1960,Female
325665,Closed,1023,2012-06-19 06:27:00,41,2012-06-19 06:45:00,58,B00352,Registered,2134,1989,Female
325667,Closed,291,2012-06-19 06:31:00,38,2012-06-19 06:36:00,43,B00397,Registered,1984,1968,Male
325668,Closed,332,2012-06-19 06:31:00,58,2012-06-19 06:37:00,52,B00125,Registered,2118,1981,Male
325669,Closed,859,2012-06-19 06:31:00,39,2012-06-19 06:46:00,38,B00540,Registered,2118,1983,Male
325670,Closed,421,2012-06-19 06:32:00,38,2012-06-19 06:39:00,22,B00414,Registered,1915,1985,Male
325671,Closed,405,2012-06-19 06:32:00,38,2012-06-19 06:39:00,64,B00416,Registered,1982,1976,Male
325672,Closed,257,2012-06-19 06:32:00,34,2012-06-19 06:37:00,14,B00019,Registered,1757,1955,Male
325674,Closed,464,2012-06-19 06:34:00,58,2012-06-19 06:42:00,52,B00086,Registered,2116,1977,Female
325675,Closed,404,2012-06-19 06:34:00,43,2012-06-19 06:41:00,42,B00121,Registered,2025,1971,Male
325676,Closed,284,2012-06-19 06:35:00,16,2012-06-19 06:40:00,39,B00084,Registered,1583,1955,Male
325677,Closed,241,2012-06-19 06:37:00,21,2012-06-19 06:41:00,50,B00302,Registered,2115,1988,Male
